name,description
Above 6,Cozy cocktail lounge set atop the 6 Columbus Hotel & featuring a retractable roof.
Clubhouse,"Trendy NYC bar with lively atmosphere, upbeat music, young professionals."
Bad Roman,"Trendy NYC bar with Roman decor, eclectic music, upscale crowd."
Center Bar,"Chic lounge with jazz music, upscale atmosphere, and professional crowd."
Tartinery Café - Bar | Columbus Circle,"Trendy, vibrant NYC bar, cozy atmosphere, eclectic music, mixed demographic."
MO Lounge,"Upscale lounge with sophisticated ambiance, modern beats, and diverse professionals."
Altesi,"Cozy Italian spot, upscale vibe, soft jazz, diverse crowd, intimate atmosphere."
Fasano Caffè,"Elegant Italian bar, sophisticated ambiance, jazz music, attracts professionals and connoisseurs."
Mag News Inc,"Trendy NYC bar with hip vibe, indie music, diverse young crowd."
Bottega,"Cozy, Italian-inspired bar with jazz music and sophisticated crowd."
Il Divo,"Chic bar, upscale vibe, live jazz, diverse crowd, luxurious and vibrant."
Bedford Falls NYC,"Cozy local watering hole & back patio offering diverse American fare, beer & cocktails."
JP Fine Foods LLC | Private Chef NYC | Cocktail Catering NYC,"Upscale NYC bar offering refined cocktails, private chef, vibrant, diverse vibe."
Campagnola,An old-school Italian eatery with an extensive menu & prime opportunities for people-watching.
Vanguard Wine Bar (Upper East Side),"Cozy atmosphere, intimate vibe, soft jazz, sophisticated, diverse wine lovers."
Finnegan's Wake,"Lively Irish pub; traditional tunes; hearty crowd; warm, friendly atmosphere."
Murphy's Law,"Cozy Irish pub, lively atmosphere, classic rock, diverse patrons."
Oda House UES,"Cozy ambiance, Georgian cuisine, relaxed vibe, diverse clientele, eclectic tunes."
Inès,"Chic, intimate bar; eclectic music; diverse crowd; sophisticated, cozy ambiance."
Sefton,Cocktails & pub grub are served along with bottled & draft beer at this old-school neighborhood bar.
Fresco's Cantina,"Lively, Latin-themed bar with vibrant decor, diverse demographic, upbeat music."
BluesRoadMusic RadioClub Inc,"Blues haven; soulful ambiance; classic rock music; mature, eclectic crowd."
McCaffrey & Burke Bar & Grill,"Casual atmosphere, lively vibe, rock music, diverse crowd, friendly service."
Katch Astoria,"Modern, upbeat tavern with an outdoor courtyard offering pub grub, cocktails & rotating craft brews."
Sport Bar Grill,"Energetic sports haven, lively broadcasts, casual crowd, rock music, grilled eats."
Fresco’s Grand Cantina,"Lively Mexican vibe, energetic atmosphere, Latin music, diverse young crowd."
Irish Whiskey Bar,"Down-to-earth tavern offering pints of beer, shots, live music & an outdoor patio."
Mc’s,"Lively, eclectic bar with energetic vibe, diverse patrons, and mixed music."
Olympiacos Fan Club of New York,"Energetic atmosphere, Greek music, passionate fans, diverse crowd, lively sports culture."
Meat & Salt,"Chic, lively bar with eclectic tunes, industrial vibe, diverse crowd."
Deja Vu New York,"Cozy Mediterranean-style bar with cocktails, hookah, weekend DJs, karaoke parties & bar grub."
Dominie's,"Intimate, upbeat watering hole offering pizzas & a full bar, plus outdoor seating."
Dream Cafe hookah lounge,"Laid-back, trendy vibe; eclectic music; diverse crowd; cozy hookah experience."
Taj Mahal Lounge,"Lively, exotic ambiance; diverse crowd; upbeat music; vibrant, opulent decor."
Sands of Persia Lounge & Restaurant,"Exotic ambiance, Middle Eastern tunes, chic decor, diverse, sophisticated crowd."
Rotana Lounge,"Vibrant Middle Eastern decor, lively atmosphere, diverse crowd, Arabic music."
Jasmin Lounge,"Chill, dimly lit lounge with a backyard offering flavored hookah pipes, fruit smoothies & tea."
Sissy McGinty's,"Convivial Irish pub offering games, pool, karaoke & more in a simple, brick-walled space."
Studio 59 Lounge,"Chic, lively atmosphere; eclectic music; trendy crowd; upscale cocktails; intimate."
Alpha Astoria,"Trendy ambiance, eclectic vibe, indie music, attracts young professionals."
Aloha NYC,"Tropical cocktails, DJs, dancing & hookahs offered in an intimate space with dark, moody lighting."
TABOO Astoria,"Trendy bar, lively atmosphere, eclectic music, diverse crowd, Astoria hotspot."
Depósito,"Buzzing, eclectic bar; vintage decor; diverse crowd; groovy music; retro-lounge vibes."
Murphy's Sports Bar,"Lively, sports-centric bar; friendly crowd, diverse ages, classic rock tunes."
Pier 84 Chip Shop,"Cozy bar, retro vibe, eclectic music, diverse crowd, waterfront view."
The Landmark Tavern,"Landmark Irish tavern, originally opened in 1868, with classic decor & a pub-grub menu."
Cantina Rooftop,Modern venue with year-round rooftop seating offering Mexican dishes and specialty drinks.
La Terraza Rooftop NYC,"Lively rooftop bar & lounge offering cocktails & music, plus panoramic city views."
Cantina bar,"Lively, rustic, Latin-themed bar with vibrant music, young diverse crowd."
Hardware,"lively LGBTQ+ bar, energetic vibe, pop/dance music, diverse crowd."
As Is NYC,"Rotating craft beers, cocktails & elevated bar bites served amid exposed brick & retro touches."
The Waylon,Laid-back tavern with a Western motif serving Texas-inspired pub grub such as Frito pie.
Fusion Bar and Grill Peruvian/Mexican,"Casual, intimate venue offering Peruvian & Mexican fusion cuisine, cocktails & brunch."
On the Rocks,"Cozy, vintage decor, classic rock, friendly, diverse crowd."
Pocket Bar NYC,"Quaint, cozy, eclectic; indie music, diverse crowd, vibrant community feel."
Back Pocket Bar,"Cozy speakeasy, relaxed vibe, eclectic tunes, diverse crowd, vintage decor."
American Retro Bar and Grill,Local bar showcasing a host of drinks plus pub grub & games in a utilitarian setting.
Arriba Arriba,"A bustling eatery serving basic Mexican fare to a lively crowd, with DJs & a big margarita menu."
Flaming Saddles Saloon,"Wild West-themed, cash-only gay bar with cowboy decor, country-&-western music & dancing barkeeps."
Medi Wine Bar,"Relaxed wine bar featuring a Mediterranean menu served in the main room, cellar or garden."
Bar Nine,"Intimate, brick-walled hangout with a bar menu, pool table, karaoke, theme parties & trivia nights."
Alfie's Kitchen & Craft Beer Bar,"Cavernous, rustic-chic hangout with rotating craft-beer taps & small-batch whiskeys plus late hours."
Briciola,"Briciola offers cozy, charming vibes with jazz music and diverse patrons."
Boxers HK,"Gay hangout with a lounge, video-wall-equipped basement, terrace & 3 full bars, plus league teams."
Hibernia Bar,"Draft beers, TVs & dartboards enliven this sports pub, popular with Pittsburgh Steelers fans."
Gossip,"Chic bar, vibrant vibe, pop and electronic music, trendy professionals."
Valhalla NYC,"Low-key, urban-rustic tavern offering a robust menu of microbrews on tap & by the bottle."
Atlas Social Club,Happening saloon with a retro athletic-club atmosphere that includes boxing & wrestling memorabilia.
Industry Bar,"Spacious, industrial-chic gay bar with a bustling after-work scene fueled by a nightly happy hour."
Jasper's Taphouse & Kitchen,"Laid-back, exposed-brick joint offering an extensive beer selection and pub grub menu."
B Side Pizza Bar,"Cool Italian nook with creative pizzas & seasonal small plates, plus craft beers & wines on tap."
Hell's Kitchen Restaurant,Unexpected ingredients like lobster appear in the upscale Mexican dishes at this cool locale.
Bombay Grill House,"Lively Indian spot, modern decor, Bollywood tunes, diverse crowd, energetic atmosphere."
McCoys,"rustic decor, classic rock, diverse crowd, friendly staff."
FLEX,"Trendy, lively atmosphere, eclectic music, diverse crowd, late-night hub."
The Red Stache,"Lively, eclectic bar with vintage decor playing jazz, attracting diverse crowd."
Craft+Carry Hell’s Kitchen,"Craft brews, lively atmosphere, diverse patrons, casual setting, with modern tunes."
Sleigh Bar,"Trendy, festive bar with lively crowd, holiday décor, upbeat music mix."
EZ Paella & Tapas,"Simple counter-serve outpost serving paella, empanadas & quesadillas, plus classic Spanish desserts."
Ikebana Zen,"Tranquil ambiance, chill vibes, smooth jazz, sophisticated crowd, zen décor."
Thē Soirēe,"Chic atmosphere, eclectic vibe, jazz music, youthful professionals, upscale crowd."
Cosmic Diner,"No-frills 24-hour diner serving a huge menu of American grub for breakfast, lunch & dinner."
Guantanamera,"Lively Cuban ambiance, vibrant salsa music, diverse crowd, spirited nightlife experience."
Barcelona Bar,"Lively NYC bar, party vibe, themed shots, rock music, young crowd."
Karaoke DUET 53,"Lively karaoke bar, diverse crowd, energetic atmosphere, pop hits, late-night."
VV Bar & Kitchen,Creatively sauced house-made pastas & other Italian eats in a sleek space with garden seating.
Chai Thai Kitchen,"Snug, bustling storefront serving an ample selection of Thai standards."
Russian Samovar Restaurant and Piano Bar,Russian staples & infused vodkas are served at this longtime eatery that hosts live piano music.
Rumours Bar & Grille,"Lively Irish bar with brick walls & sports on TV serving standard pub grub, draft beers & cocktails."
Black Iron Burger Theater District,"Lively bar with vintage vibe, rock music, diverse crowd; classic burgers."
RPM Underground,"Cocktails served in a cool, neon-lit space with a funky bar area, pub fare & private karaoke rooms."
Throwback Dance Party,"Lively retro vibes, '80s-'90s hits, vibrant crowd, nostalgic, energetic dance atmosphere."
The Grisly Pear Midtown,"Lively bar with eclectic atmosphere, rock music, diverse young crowd."
McGee's Pub,Wood-lined Irish pub sprawling over 3 floors & offering bar grub & plenty of draft beers.
Serafina Italian Restaurant Broadway,Pizza & traditional pastas plus brunch at an outpost of a local Italian chain in the Dream Hotel.
Redeye Grill,"Upscale, seafood-focused New American with cocktails & live music in a huge, bustling space."
Flûte Champagne Bar,"Elegant, intimate champagne lounge; sophisticated atmosphere, jazz music, diverse clientele."
Faces and Names Bar & Lounge,Lounge with a contemporary feel dishing up sandwiches & pub food for a Midtown after-work crowd.
The Carnegie Club,"Patrons puff on cigars & sip single malts at this clubby, elegant smoking lounge with a fireplace."
Trattoria Dell'Arte,"Tuscan trattoria with a bustling scene, Italian art on the walls & an antipasto bar."
The Three Monkeys,"Sports bar with more than 30 draft brews, lots of flat-screen TVs & a second-floor outdoor deck."
PHD Terrace at Dream Midtown,"Swanky lounge with a penthouse vibe, sweeping views, DJs & a menu of cocktails & gourmet bites."
The Rickey,"Cozy, vintage-style lounge with velvet seating for elevated craft cocktails & sophisticated snacks."
Empire Steak House West,Contemporary chophouse at Hilton Midtown with a classic menu including seafood & California wines.
Joe G Pizza & Restaurant,"Family-owned establishment serving pasta, pizza & other classic Italian dishes in a warm setting."
Tanner Smith's,"Watering hole with a Prohibition theme serving craft cocktails, beer, wine & bar bites."
Polly's NYC,"Cozy, vintage decor, eclectic crowd, indie music, lively atmosphere."
Park Lounge,"Trendy ambiance, lively vibe, eclectic music, young professionals’ hub."
PUBLIQuartet,"Vibrant jazz bar, eclectic atmosphere, energetic vibe, live performances, diverse crowd."
The Gatsby Mansion,"Elegant speakeasy, 20s-themed, jazz tunes, upscale cocktails, mixed-age clientele."
Bar Ameritania,"Sophisticated atmosphere, cozy vibe, jazz music, diverse crowd, elegant bar."
New York Attitude Gift shop,"Trendy, upbeat atmosphere; eclectic music mix; caters to young professionals."
P. McDaid’s Irish Pub,"Cozy Irish pub, lively atmosphere, classic rock music, diverse crowd."
Bartley Dunnes,"Cozy, lively vibe, eclectic music, diverse crowd, casual atmosphere."
The Russian Tea Room,"Continental classics like borscht, caviar & vodka served in a flashy, opulent setting."
estiatorio Milos Midtown,Stylish Greek restaurant serving fresh seafood in a Mediterranean-style whitewashed setting.
Pazza Notte,Midtown eatery offering Italian basics & brick-oven pizza plus a vibrant happy hour.
Mangia 57th - Midtown Italian Food & Corporate Catering NYC,"Self-serve take-out spot offering gourmet Mediterranean sandwiches, salads & pastas."
P.J. Carney’s Pub,"Bustling, historic & traditional Irish watering hole with a diverse crowd & a an old-world vibe."
"Davidoff of Geneva, 6th Ave.",Stately mainstay for pipe tobacco & cigars plus a front lounge with high-top tables & street views.
Parker's at Thompson Central Park,"Chic atmosphere, lively vibe, jazz music, diverse professional crowd, elegant setting."
Quality Bistro,Elevated brasserie serving contemporary takes on French classics in a whimsical multi-room space.
Park Lane Hotel New York,"Elegant bar with upscale vibe, smooth jazz music, sophisticated clientele."
Nobu Fifty Seven,Sleek Japanese-Peruvian spot from Nobu Matsuhisa frequented by business types & celebs.
Gabriel's Bar & Restaurant,Upmarket Italian fare & sizable wine list in a polished setting that includes a private event room.
The Champagne Bar,Lavish hotel destination presenting high-end champagnes & wines along with caviar service.
Contour,"Trendy, upscale lounge with vibrant house music, attracting young professionals."
Darling,"Chic rooftop bar, vibrant vibe, eclectic music, stylish young professionals."
Philippe Chow,"Elegant ambiance, upscale vibe, smooth jazz, affluent clientele, high-energy."
Harry Cipriani,Upscale scene where an international crowd tucks into Italian food chased with Bellinis.
Il Mulino New York - Uptown,"Elegantly appointed, well-known restaurant focusing on sizable plates of Italian favorites."
Serafina Italian Restaurant Always,"Buzzy destination serving Italian fare & wood-fired pizza in a mellow, white-tablecloth setting."
Two E Bar/Lounge,Sophisticated saloon with crystal chandeliers offering afternoon high tea & upscale cocktails.
Avra Madison,"Upscale Greek seafood eatery with fresh fish by the pound, villa decor & expansive outdoor seating."
"Asprey - Madison Ave, New York","Elegant bar with sophisticated vibe, jazz music, upscale clientele, stylish atmosphere."
Le Bilboquet,"Chic, French-inspired bar with jazz music, sophisticated ambiance, upscale clientele."
The Regency Bar & Grill,"This refined hotel restaurant serves elevated American plates, afternoon tea & cocktails."
Café Boulud,Daniel Boulud's cafe serving high-end French fare in a chic setting.
Club Macanudo,"Luxe cigar bar with leather chairs, food & cocktail menus & a strict dress code."
David Burke Tavern,American dishes by David Burke in an elegant space with a solarium and red leather booths.
Lilli and Loo,An array of Pan-Asian eats (plus gluten-free options) served in a bi-level setting.
Sopra,This tasting room upstairs from Amáli offers one seating per night for a five-course Italian dinner.
128 Bar & Bistro,"Trendy 128 Bar & Bistro offers chic vibes, eclectic music, diverse crowd."
Smashburger,"Casual atmosphere, upbeat vibe, pop music, diverse crowd, delicious burgers."
Jacques,"Cozy French bistro-bar, relaxed vibe, eclectic music, diverse crowd."
Tony's Di Napoli,"Warm, lively atmosphere, classic Italian tunes, diverse family-friendly crowd."
Silver Star,"Cozy ambiance, jazz music, vintage decor, diverse crowd, craft cocktails."
Serena's Wine Bar,"Local joint offering wine, Italian small plates & meal-sized salads in a warm, laid-back atmosphere."
monterry,"Lively Monterrey bar features Latino beats, trendy crowd, lively atmosphere."
fogo,"Cozy NYC bar with jazz music, dim lighting, mixed crowd."
Bel Aire Diner,"Large, classic Greek diner with a massive menu, chrome accents & 24/7 opening hours."
Inca Paisa restaurant,"Lively Inca Paisa blends Latin beats, vibrant ambiance, diverse crowd."
Kelly's Bar,"Chill ambiance, eclectic music, friendly crowd, vintage decor, Manhattan hotspot."
Bareburger - Astoria (31st Ave),"Casual, eco-minded regional chain for organic burgers (from beef to bison) & more, plus beer & wine."
Halsey's,"Easygoing pub with many craft brews on tap, seasonal sidewalk seating & updated comfort eats."
Bar Dalia,"Chic NYC bar, cozy atmosphere, soulful jazz, diverse young professionals."
Sweet Afton,"A lively Irish pub with a hip vibe, brick-&-beam interior, a garden and locally sourced food."
Avenue Restobar,Bustling hot spot with a loungey vibe offers Greek bites plus cocktails & popular sidewalk seating.
Judy & Punch,"Intimate, cozy, vintage aesthetic, eclectic music, diverse crowd, craft cocktails."
Kween,"vibrant, drag shows, disco beats, LGBTQ+ haven, diverse crowd, lively."
Maggie Hall's,"Cozy, lively, jazz tunes, eclectic crowd, warm neighborhood vibe."
Mad For Chicken Astoria,"Lively vibe, dim lighting, Korean fried chicken, pop music, diverse crowd."
Mimoza Restaurant & Lounge,"Lively upscale vibe, R&B music, diverse crowd, chic decor, energetic atmosphere."
Fayrooz Hookha lounge and bar,"Restaurant/lounge offers Middle Eastern meals, drinks, flavored tobacco, music & dancing."
Butcher Bar BBQ,Grass-fed meat & organic chicken are barbecued or sold by the pound at this eatery/butcher shop.
Irish Rover,"Corner Irish bar with a traditional feel featuring draft beers, sports on TV, darts & trivia nights."
The Grand,"Modern, vibrant atmosphere; chill vibe; eclectic music; diverse, young crowd."
The Wolfhound,Inventive cocktails & draft beer served in a contemporary Irish pub with frequent entertainment.
Via Trenta Osteria & Wine Bar,"Gourmet pizza & artisinal pasta paired with wine, beer & cocktails in a warm, refined setting."
La Tiendita Taqueria NYC,"Cozy Mexican bar, vibrant decor, Latin music, lively, diverse crowd."
VYBZ ASTORIA,"Lively, Caribbean-themed bar; vibrant atmosphere, reggae beats, diverse young crowd."
DP Lounge,"Cozy, trendy bar with chill vibes, eclectic music, and diverse crowd."
El punto Astorias,"Lively Latin bar, upbeat reggaeton music, youthful crowd, vibrant ambiance."
Boske,"Trendy, relaxed, eclectic music, diverse crowd, urban oasis, social haven."
Taco Tumba,"Lively bar, Latin beats, festive atmosphere, diverse crowd, delicious tacos."
SMOKE & MIRRORS Sports Bar & Lounge,"Lively sports-centric lounge, casual vibe, eclectic music, diverse young crowd."
Vida NYC,"Sophisticated ambiance, electronic beats, diverse crowd, trendy cocktails, vibrant nightlife."
Stiami,"Chic, vibrant bar with Latin beats, diverse crowd, energetic atmosphere."
Blackbird's,"Relaxed neighborhood saloon featuring craft beers, bar bites & theme-night specials."
Pranam Restaurant & Bar,"Lively ambiance, eclectic vibes, global music, diverse crowd, upscale yet casual."
Pier 81,"Nautical, lively bar with upbeat music, diverse crowd, waterfront views."
North River Lobster Company,Part fish shack part boat with seafood & cocktails that sails around the Hudson a few times a day.
La Barca Cantina,"Lively yacht bar, Latin beats, vibrant, diverse, youthful crowd."
Kings of Kobe,"Modern eatery featuring gourmet hot dogs & burgers, plus sides & milkshakes."
La Vela Dining & Bar,"Elegant, modern restaurant crafting artisan pizzas, fresh pasta & other Italian specialties."
Scruffy Duffy's Tap Room,This casual joint specializes in a rotating list of American draft microbrews plus hearty pub fare.
dell'anima,Tiny Italian restaurant with an upscale crowd & primo seating at the chef's counter.
Scruffy Duffy's Sports Bar,"This wood-paneled bar offers craft beer, cocktails, plus wings, pizza & sandwiches."
The Spot,"Cozy and lively, diverse crowd, jazz music, vintage decor, friendly vibes."
Mercury Bar West,"College-type sports bar with TVs to watch the game, beers on tap & extensive pub food options."
Tulcingo Del Valle Restaurant,Compact diner serving up basic Mexican dishes along with burgers & breakfast fare.
Añejo,"Hip Añejo offers lively Latin vibes, cocktails, trendy crowd, upbeat music."
Horus Too,"Snug Mediterranean option known for grilled fare, vegetarian eats & a flavored hookah menu."
DBL,"Chic NYC bar with indie music, trendy crowd, modern atmosphere."
Lilly's Craft and Kitchen,"Charming tavern with exposed brick walls, serving elevated comfort eats & signature cocktails."
Vintner Market (Beer Cheese),"Quaint market offering global wines, craft beer & specialty goods, plus local, seasonal cafe dishes."
The Molly Pitcher Club,"Cozy ambiance, retro vibe, jazz tunes, diverse crowd, intimate setting."
Bodega,"Cozy, eclectic dive bar; indie music; diverse, hipster clientele."
Becco,"Lively Italian spot, rustic charm, Broadway crowd, classic tunes, welcoming vibe."
Don't Tell Mama,"Even the servers sing at this multipurpose club with a piano bar, 2 showrooms & an American eatery."
Swing 46,"This jazz & supper club offers live music, swing dancing & free lessons."
Ritz Bar and Lounge,"Gay dance club with with DJs on 2 floors, plus lounge rooms to mingle in & an outdoor patio."
AmaroneScarlatto,"Cozy Italian bar, vintage vibes, jazz music, attracts relaxed, mature crowd."
Mickey Spillane's,"Irish pub vibe, lively atmosphere, classic rock music, diverse crowd."
V{IV},"This Thai restaurant offers classic fare in a neon-lit, dark-wood space with a futuristic-chic vibe."
The Green Room,"Cozy, dim-lit, indie music, eclectic crowd, artsy, intimate, Brooklyn vibe."
The Gaf West,Comfortable Irish haunt draws neighborhood locals with darts & a welcoming vibe.
Dutch Fred's,"Sib of Tanner Smith's for beer & cocktails in a space with a long bar, tiled floors & flat-screens."
The Blue Dog,"Relaxed, stylish American eatery for sandwiches, salads, and breakfast classics, plus cocktails."
Times Square Diner & Grill,"American diner fare and a full bar offered in a stylish, modern atmosphere with loft-height ceilings."
Hold Fast Kitchen and Spirits,Hip outpost with eclectic decor & low lighting serving creative pub fare with full bar & happy hour.
"VERS — queer bar, cocktails, bar snacks, and parties","Lively queer bar, creative cocktails, tasty snacks, vibrant EDM, diverse patrons."
Bar work,"Trendy, energetic bar offering live DJ sets for young professionals."
Mom's Kitchen and Bar,"Cozy, retro diner; lively, nostalgic tunes; diverse, friendly crowd."
Barking Dog Hell’s Kitchen,"Cozy, bustling bar with diverse patrons, casual vibe, playing rock music."
Dear Rufino Taqueria & Bar,"Energetic taqueria-bar with Latin beats, vibrant decor, diverse young crowd."
Beer garden & kitchen,"Lively garden, rustic atmosphere, eclectic music, diverse crowd, craft beers."
Rosevale Cocktail Room,"Upscale atmosphere, lively vibe, jazz music, mixed-age clientele, stylish decor."
Starchild Rooftop Bar & Lounge,"Chic rooftop bar with live DJs, diverse crowd, stunning city views."
Lady Blue,"Chill lounge, jazzy tunes, dim lighting, mixed ages, sophisticated crowd."
Deacon Brodie's Tavern,"Intimate, neighborhood hangout serving up cocktails & brews in a dimly lit, low-key atmosphere."
Sir Henry’s,"Chic, vintage atmosphere; jazz tunes; intimate setting; diverse, mature crowd."
The Dickens,"Cozy, vintage vibe; jazz music; diverse, sophisticated crowd."
9th Avenue Saloon,"Laid-back, cozy atmosphere; classic rock music; diverse, friendly crowd; casual setting."
Victor's Cafe Cuban Restaurant,Cuban cooking & live Cuban music fuel the festive old-Havana vibe at this circa-1963 spot.
La Masseria NY,Hearty Southern Italian food served at a pre-theater-appropriate pace in an Old World setting.
Lillie's Victorian Establishment,"Elegant Victorian-themed bar with lively atmosphere, classic rock music, mixed crowd."
The Iridium,Intimate basement jazz club long associated with Les Paul that features national & local performers.
LeGrande Lounge,"Intimate lounge at the Time Hotel featuring lavish, glam rock-inspired interiors & unique cocktails."
Hurley's Restaurant & Bar,"Revered, 3-floor saloon with rooftop seating, private booths, a pub grub menu & a range of beers."
Gallaghers Steakhouse,Iconic steakhouse offering classic cuts & raw bar items in renovated digs with red banquettes.
McHale's Bar & Grill,"Serving pub grub, this haunt with dark-wood decor features 15+ flat-screen TVs & a spot for darts."
The Attic Rooftop & Lounge,Modern furnishings & an 18th-century decadence theme coexist at this upscale Hilton-rooftop club.
The Soccer Republic at McHale's,"Cozy, old-school Irish watering hole with 2 floors offering classic pub grub & many TVs for sports."
SuperNova,"Chic rooftop, lively vibe, panoramic views, eclectic music, diverse crowd."
Applebee's Grill + Bar,"Casual, family-friendly dining with mainstream pop hits and diverse clientele."
Broadway 49,"Contemporary lounge at Crowne Plaza Hotel offering wine, cocktails, scotch & elevated American fare."
Vanguard Wine Bar (Midtown West),"Charming spot with eclectic ambiance, jazz tunes, and diverse professionals."
Empire Steak House Times Square,"Upscale, lively ambiance, classic rock music, prime steaks, professional crowd."
cloudM New York Times Square,"Chic, rooftop bar with panoramic views, elegant atmosphere, trendy music, diverse crowd."
NOTHING REALLY MATTERS,"Trendy, laid-back bar with eclectic music; attracts diverse, creative crowd."
Don Antonio,"Relaxed venue with seasonal cocktails, Italian craft beers & classic Neapolitan pizza."
Dolly Varden,"Stylish eatery serving elevated food & high-concept cocktails, plus seating in a train car replica."
Haswell Green's,"Hip, brick-lined locale with vintage accents for creative cocktails, modern pub plates & live music."
Winnies Broadway,"Cozy, vintage vibe, jazz music, diverse crowd, nostalgic atmosphere."
Big Apple Cleveland Browns Backers of NYC,"Bar at The Liberty NYC drawing Cleveland sports fans for Browns, Cavaliers & Indians games."
SPIN New York Midtown,"Lively, upscale ping-pong bar; vibrant atmosphere; eclectic music; young professionals."
vista Restaurant And Bar,"chic ambiance, diverse crowd, eclectic beats, panoramic views."
The Harrison Restaurant & Bar,"Relaxed, upscale atmosphere, live jazz, diverse crowd, cocktails and gourmet food."
Beast & Butterflies,Chic bar; eclectic atmosphere; innovative cocktails; electronic music; diverse clientele.
La Macarena,"Lively Latin bar, energetic vibe, salsa music, diverse crowd."
msocial Rooftop,"Trendy rooftop bar with vibrant ambiance, DJ tunes, and young professionals."
The Capital Grille,"Outpost of the upscale steakhouse chain offering classic American fare & a clubby, refined setting."
Bobby Van's,"Classic, upscale bar with lively atmosphere, jazz music, professional crowd."
Rosie O'Grady's,Landmark restaurant serving steak & seafood dishes in a formal setting since 1973.
i Lounge,"Posh, high-end cocktail spot with light fare & prime vistas of Times Square in The Michelangelo."
Aldo Sohm Wine Bar,"Casually chic wine bar from Le Bernardin's master sommelier with charcuterie, French fare & lunch."
Ocean Prime,"Elegant Manhattan bar with upscale ambiance, live jazz, and affluent clientele."
the sling bar,"Atmospheric, cozy, diverse crowd, eclectic music, vibrant vibe."
La Bonne Soupe,"Menu includes classics such as French onion soup, quiche, crepes, and more"
Michael's New York,"Stylish, art-adorned Californian eatery frequented by high-profile media personalities."
Tang Pavilion,Shanghainese dishes feature at this subdued Chinese spot convenient to Carnegie Hall & City Center.
Whiskey Trader,Dimly lit triplex sports bar/lounge drawing a crowd with drink specials & free popcorn.
Cassidys Pub,"Cozy atmosphere, lively vibe, rock music, mixed-age crowd."
Terrace Cafe,"Chill atmosphere, acoustic music, trendy decor, diverse crowd, relaxed vibe."
The Bar at Baccarat Hotel,"Glitzy bar at Baccarat Hotel featuring craft cocktails, wine, small plates & an intimate terrace."
Grand Salon at Baccarat Hotel,"Ritzy lounge for morning pastries, high tea & nighttime drinks & small plates in the Baccarat Hotel."
Randolph's Bar and Lounge,"Elegant tavern in the Warwick hotel offering cocktails & fine American dishes, including breakfast."
53,"Chic NYC bar; vibrant vibes; eclectic music; diverse, stylish young crowd."
Lobby Lounge,"Sophisticated lounge with jazz music, upscale clientele, chic, cozy atmosphere."
Bridges Bar,"Lively, cozy bar with jazzy tunes; diverse, youthful, relaxed crowd."
The Consulate Midtown,"Chic, upscale bar with jazz tunes, offering craft cocktails, attracting professionals."
The Bar Room at The Modern,High end dining room around a 24-seater marble bar specializing in contemporary food & fine wine.
Caviar Russe,High-end New American restaurant/caviar specialist in a luxurious Madison Avenue setting.
San Pietro,A Midtown power-lunch scene that's fueled by high-end Italian dining & expense accounts.
Obicà Mozzarella,"Chic atmosphere, vibrant vibe, live jazz, upscale crowd, artisanal mozzarella dishes."
Clement,"Elegant, cozy bar featuring jazz music, ideal for mature professionals."
The Whitby Bar,"Artful hotel haunt with a 30-ft. pewter bar serving coffee, cocktails, modern fare & afternoon tea."
