id,neighborhood,club_vibes,music_genres
ChIJswsgr1FYwokRwkvNT9-_H8c,Hell’s Kitchen,Loungey;Divey,Top 40/Pop;Rock/Indie
ChIJHQfdvMFZwokRwej0-HMZ1uY,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Jazz/Blues
ChIJl5vuBVBYwokRQSik_iD7MO4,Hell’s Kitchen,Divey;Fratty,Top 40/Pop;Rock/Indie
ChIJzVOUMFdYwokRy8Nskj-Mb34,Hell’s Kitchen,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJ41LLW1dYwokR7Q5UGoWYbiE,Hell’s Kitchen,Divey;Fratty,Country;Throwbacks/80s-90s
ChIJv2qn4FlYwokRUd5t65_aVsw,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJr3VP4FlYwokRcyikcDo79w8,Hell’s Kitchen,Live Music;Loungey,Rock/Indie;Live Music
ChIJo1fD3qxZwokRtJas3NuJcFw,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Jazz/Blues
ChIJl7uwMFdYwokR6s6h6ZUIHNU,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJ78MqK1dYwokRX8ecRYNZQDo,Hell’s Kitchen,Loungey;Rooftop/Outdoor,Top 40/Pop;Throwbacks/80s-90s
ChIJ_88i0VBYwokRhaeqc_63mHU,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Top 40/Pop
ChIJl6X5KVFYwokR6Vv2w9j6K0c,Hell’s Kitchen,Divey;Loungey,Top 40/Pop;Rock/Indie
ChIJ2_w03FlYwokRRwwhGoXupac,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Throwbacks/80s-90s
ChIJSYrBMldYwokRuer87cJcwiw,Hell’s Kitchen,Loungey;Divey,Top 40/Pop;Throwbacks/80s-90s
ChIJs5moEldYwokRUeku57R4FfA,Hell’s Kitchen,Loungey;Dancey,Top 40/Pop;Throwbacks/80s-90s
ChIJqcbaIkZhiIgRwRE_C311niQ,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Top 40/Pop
ChIJ5bwuMFdYwokRliCt_Efmc3U,Hell’s Kitchen,Loungey;Divey,Rock/Indie;Top 40/Pop
ChIJ1Y2PZlFYwokRrHyauG6aQbw,Hell’s Kitchen,Loungey;Divey,Rock/Indie;Throwbacks/80s-90s
ChIJKTBsN1dYwokRVtIJyHOh84Y,Hell’s Kitchen,Loungey;Divey,Top 40/Pop;Hip-Hop/Rap
ChIJLxEfOFdYwokRC__k-jHFpxI,Hell’s Kitchen,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJBWXY9oZZwokRA9xrSOqTNjc,Hell’s Kitchen,Divey;Live Music,Rock/Indie;Jazz/Blues
ChIJU6-LvAdZwokR2X_baYZd_Wo,Hell’s Kitchen,Divey;Live Music,Rock/Indie;Jazz/Blues
ChIJbYfjzoRZwokRidUbbFMVymQ,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Top 40/Pop
ChIJM7mDk6BZwokRCxtr4ruubgY,Hell’s Kitchen,Loungey;Divey,Rock/Indie;Throwbacks/80s-90s
ChIJvZ0A4FBZwokR3__wBQO-f_E,Hell’s Kitchen,Loungey;Upscale,Latin/Reggaeton;Jazz/Blues
ChIJN4THW7FZwokR9RXcLZMXyAk,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJ7yQxK0NZwokRjEjrmbK1Cx0,Hell’s Kitchen,Loungey;Upscale,Top 40/Pop;House/EDM;Disco/Funk
ChIJGWZmvldYwokRfEXeo4K8C0c,Midtown,Loungey;Divey,Top 40/Pop;Throwbacks/80s-90s
ChIJBeQnDlhYwokRRCKNfQl_zvA,Hell’s Kitchen,Loungey;Live Music,Latin/Reggaeton;Live Music
ChIJte5SHFhYwokRV50VmHOsjYM,Hell’s Kitchen,Divey;Loungey,Top 40/Pop;Throwbacks/80s-90s
ChIJ93XA8ldYwokRy4US0ifs-XA,Midtown,Loungey;Divey,Top 40/Pop;Throwbacks/80s-90s
ChIJkY8CG1dYwokR4l0m5PYiun4,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJuR1vBFhYwokRnOOGl8XcUb8,Hell’s Kitchen,Loungey;Divey,Chill/Lo-fi;Jazz/Blues
ChIJSeT4tldYwokRxanaa6CWf0U,Midtown,Loungey;Upscale,Jazz/Blues;Live Music
ChIJKyNwGlhYwokRUzTztvP0ZO4,Hell’s Kitchen,Divey;Fratty,Top 40/Pop;Rock/Indie
ChIJsQ4NaLBZwokRhZu2rVnbykw,Midtown,Divey,Rock/Indie
ChIJIWrceJRZwokRBxXqAQLY9sA,Midtown,Loungey;Divey,Rock/Indie;Throwbacks/80s-90s
ChIJIRCuZP5ZwokReHI_tr2El20,Midtown,Dancey;Fratty,Throwbacks/80s-90s;Top 40/Pop
ChIJ2coDr_NZwokRAP5zsx2kbok,Midtown,Divey;Live Music,Rock/Indie;Live Music
ChIJ92Q_APhYwokR0Ct3Oz-9CAE,Midtown,Divey;Loungey,Rock/Indie;Throwbacks/80s-90s
ChIJ05O-HvhYwokRAglJqeW_Mog,Midtown,Upscale;Loungey,Top 40/Pop;Chill/Lo-fi
ChIJ1_LNnPdYwokR4md6qC18AMU,Midtown,Upscale;Loungey,Jazz/Blues;Top 40/Pop
ChIJtXbbE_hYwokRVKra_u0D18s,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJ9YIwR_hYwokR_WnkYaG33mo,Midtown,Loungey;Upscale,Top 40/Pop;Chill/Lo-fi
ChIJf1Qu2PlYwokRqH_b4rWvgT0,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJNaoHnvdYwokRFxwsSD4urZg,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJR32J4VdYwokR5SGYbdohMnU,Midtown,Loungey;Rooftop/Outdoor,Top 40/Pop;Rock/Indie
ChIJYabdHPhYwokRPmAV8GtM3gs,Midtown,Rooftop/Outdoor;Upscale,Top 40/Pop;House/EDM
ChIJ7XjEG_hYwokRxRD51ZHxirM,Midtown,Loungey;Upscale,Top 40/Pop;Chill/Lo-fi
ChIJgfwi_VdYwokRilGLsMKqBmw,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJV46E4vdYwokRqdDYcJoJUFc,Midtown,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJY4scGfhYwokRDUJKI7qavAA,Midtown,Loungey;Upscale,Jazz/Blues;Top 40/Pop
ChIJ36zhzexZwokRz6Xb3zhDaC4,Midtown,Loungey;Upscale,Top 40/Pop;Jazz/Blues
ChIJ11UG6tRZwokRzmtFxi8FpGU,Midtown,Loungey;Upscale,Top 40/Pop;Jazz/Blues
ChIJt5pCPfhYwokRTKG5lYA8j0Q,Midtown,Live Music;Loungey,Jazz/Blues;Live Music
ChIJb2t8kDRZwokRWl1IJb6vof4,Midtown,Upscale;Loungey,Jazz/Blues;Top 40/Pop
ChIJo3yKeDpZwokRyC1ENtJiJf0,Midtown,Loungey;Upscale,Top 40/Pop;Jazz/Blues
ChIJMRHIPvhYwokRULxxU4oAwIU,Midtown,Loungey;Upscale,Top 40/Pop;Jazz/Blues
ChIJz3WMid5ZwokRvB7lzLA_v00,Midtown,Divey;Loungey,Rock/Indie;Throwbacks/80s-90s
ChIJOT172pJZwokRrp291yOIT_w,Midtown,Loungey;Upscale,Jazz/Blues;Top 40/Pop
ChIJ_816e_dYwokROMvaQpsyemk,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJbRaexvlYwokRYc5RgUjlsIY,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJI7Mh7_lYwokRp1SvA9CukoE,Midtown,Loungey;Upscale,Top 40/Pop;Jazz/Blues
ChIJ0YBfw1tYwokRzcCcyVoNgh0,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJD81nnvdYwokRbq9qfuo-L-0,Midtown,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJTc6rZvpYwokRWUfqFkvAiOY,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJOYxpnytZwokRAjmnn7D9xx0,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJ8deyiahZwokRhlYgQNi3KjQ,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJmU5P6vBYwokRO73p8vAMXUE,Midtown,Upscale;Loungey;Rooftop/Outdoor,Top 40/Pop;Chill/Lo-fi;Jazz/Blues
ChIJPX5iCfpYwokRACnACAf2pJw,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJpXfNHPZYwokRj-5vnEMIYYU,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJYaVdffBYwokRl7TlavHGhVQ,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJt2_EwPBYwokRNtD4eLtsbNY,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJbSihoB5ZwokR1i9YQA8OgFQ,Midtown,Upscale;Rooftop/Outdoor,Top 40/Pop;Chill/Lo-fi
ChIJcYjz5e9YwokRO6lR3XH7PKA,Midtown,Upscale;Loungey,Top 40/Pop;Chill/Lo-fi
ChIJxd6mE_BYwokRTr7tqj0euQM,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJD9t97u9YwokRZaau3ogrAJg,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJ8YZ6x-9YwokR8LzDihc_ju0,Midtown,Upscale;Loungey,Top 40/Pop;Chill/Lo-fi
ChIJs8GaJvBYwokR_Zovni-dXlQ,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJK_nYHfBYwokR03Tv5S3dW1s,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJrc9T9fpYwokR78eyf6AJkcA,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJdQhd5e9YwokRCqi-NNF8vkU,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJC0Xwu-9YwokRUfBe4_hMvPc,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJCcAxi5RYwokRdUqdw5_FHIk,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJey0cTO5YwokRIWhN3xZgqc8,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJdcjMFu9YwokR6w1K45p4Q7k,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJ7bhwa-9YwokRcWqrsCk632M,Midtown,Loungey;Upscale,Top 40/Pop;Jazz/Blues
ChIJ0-Wqg-9YwokRMXa5dUOSUf0,Midtown,Upscale;Loungey,Top 40/Pop;House/EDM
ChIJQ9FAYPFZwokRMObSqTbDM3c,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJJ0NoGpJZwokRPtyuzXpmP1c,Midtown,Loungey,Top 40/Pop
ChIJeQxLTO5YwokRZa1HyPC-nYs,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJ9-ey3ehYwokRWPZl-y_GRBk,Midtown,Loungey;Upscale,Top 40/Pop;Jazz/Blues
ChIJ29g9TOhYwokR73g0vKmJXj8,Midtown,Loungey;Upscale,Top 40/Pop;Jazz/Blues
ChIJC0y8wOlYwokRzPKW3M0gM8I,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJ-dPe1cpZwokRSaNeS1173t8,Bushwick,Divey;Live Music,Rock/Indie;Live Music
ChIJ9RrFSwBZwokR322Zu4RdXTw,Midtown,Loungey;Upscale,Top 40/Pop;House/EDM
ChIJYQWTyTVfwokRzZtviJxFeb8,Astoria,Divey;Loungey,Rock/Indie;Throwbacks/80s-90s
ChIJuYT7ZXpfwokRjoiN0LfRVc8,Astoria,Loungey;Divey,Latin/Reggaeton;Live Music
ChIJZSTbtzdfwokRGgiDVXw38Ls,Astoria,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJX5bnADlfwokRUhMJPlULX_o,Astoria,Loungey;Rooftop/Outdoor,Chill/Lo-fi;Top 40/Pop
ChIJ29akrDlfwokRcKncf-SQ7bU,Astoria,Divey;Live Music,Rock/Indie;Jazz/Blues
ChIJX_jsOiNfwokRMyC3CL5oSOk,Astoria,Loungey;Rooftop/Outdoor,Chill/Lo-fi;Jazz/Blues
ChIJWx0TrzhfwokRjlhD_Yop39c,Astoria,Loungey;Divey,Rock/Indie;Jazz/Blues
ChIJ815OVz9fwokRUan6lN66yz4,Astoria,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJBdPiqDhfwokRLh5occA23Yk,Astoria,Divey;Loungey,Rock/Indie;Throwbacks/80s-90s
ChIJf30JHh9fwokRfrVkb9Jk3xw,Astoria,Loungey;Divey,Top 40/Pop;Hip-Hop/Rap
ChIJrTinRQxfwokRyd6oC6k1q30,Astoria,Divey;Live Music,Rock/Indie;Live Music
ChIJA00WLcJfwokRUuqYNKLrIwU,Astoria,Loungey;Divey,Top 40/Pop;Hip-Hop/Rap
ChIJe5kMylJfwokRy-n5te7zDd8,Astoria,Loungey;Upscale,Top 40/Pop;Latin/Reggaeton
ChIJS5khdUBfwokRKzoI48t5lSk,Astoria,Loungey;Rooftop/Outdoor,Chill/Lo-fi;Top 40/Pop
ChIJfUuNbD9fwokRGrRfyp7DJlw,Astoria,Divey;Loungey,Rock/Indie;Live Music
ChIJXX2Jb0BfwokRk-f1XQyjuN8,Astoria,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJGTRAZT9fwokR5nDN7FxwiKI,Astoria,Loungey;Divey,Top 40/Pop;Rock/Indie
ChIJ4auICj9fwokROuSvcJQMppw,Astoria,Divey;Live Music,Rock/Indie;Live Music
ChIJCyZ3Zj9fwokRu-73fD6aIWA,Astoria,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJBxQnmYRfwokRrNFXHT4jxCI,Astoria,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJqygr0RpfwokRG7KqS_mdqs0,Astoria,Dancey;Loungey,Top 40/Pop;Latin/Reggaeton
ChIJi_IgjyFfwokRGDxQ5IPHEWw,Astoria,Loungey;Divey,Hip-Hop/Rap;Top 40/Pop
ChIJLYqDUepfwokRxNLdxEQuNTU,Astoria,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJZZ4qkj9fwokRfdwQClHRceg,Astoria,Loungey;Rooftop/Outdoor,Top 40/Pop;Latin/Reggaeton
ChIJdacri4ZfwokRbhlbnCidnqc,Astoria,Divey;Live Music,Latin/Reggaeton;Rock/Indie
ChIJHxFXl91fwokRIS0l8mtuBNk,Astoria,Loungey;Divey,Top 40/Pop;Hip-Hop/Rap
ChIJt25F6MlfwokRaDUwXJSLT1k,Astoria,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJV5Ngpw9fwokRmnIuOxBmfZA,Astoria,Loungey;Rooftop/Outdoor,Top 40/Pop;Latin/Reggaeton
ChIJ8TWdxD9fwokRvzsjA7Bt5x4,Astoria,Divey;Loungey,Rock/Indie;Top 40/Pop
ChIJJyDIY_5fwokRsGZh1TaP5v8,Astoria,Loungey,Chill/Lo-fi
ChIJSSYEx0tYwokRQwpvObMVjk0,Hell’s Kitchen,Rooftop/Outdoor;Loungey,Top 40/Pop;House/EDM
ChIJ_c46wUtYwokRYGpi_kd3wFs,Hell’s Kitchen,Rooftop/Outdoor;Loungey,Top 40/Pop;Chill/Lo-fi
ChIJafsYMUhZwokRydyrp8BMhSc,Midtown,Rooftop/Outdoor;Loungey,Latin/Reggaeton;Top 40/Pop
ChIJlaUCHbxZwokRUPWZkyNQyYg,Hell’s Kitchen,Upscale;Loungey,Top 40/Pop;Chill/Lo-fi
ChIJQ72INkxYwokRSgm2h7htq-8,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJeTR7-FFYwokRMBLDbzsfo2s,Hell’s Kitchen,Divey;Live Music,Rock/Indie;Throwbacks/80s-90s
ChIJLzGNe5VZwokRNFN6h4rN3DY,Hell’s Kitchen,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJvW3cGlRYwokRbW1Vmo2wbmc,Hell’s Kitchen,Divey;Fratty,Top 40/Pop;Rock/Indie
ChIJ7yteiQZZwokRvsCkjpXW758,Hell’s Kitchen,Divey;Live Music,Rock/Indie;Top 40/Pop
ChIJmQ8E2lNYwokR8RY8Hn26bN0,Hell’s Kitchen,Loungey;Divey,Top 40/Pop;Rock/Indie
ChIJ5wmB6lFYwokRFG6SyPq-jXw,Hell’s Kitchen,Divey;Loungey,Latin/Reggaeton;Chill/Lo-fi
ChIJUWd2llFYwokR7LA8HroSFMk,Hell’s Kitchen,Loungey;Upscale,Latin/Reggaeton;Jazz/Blues
ChIJF-LDKlJYwokR5tWyjxUN3qA,Hell’s Kitchen,Loungey;Divey,Jazz/Blues;Chill/Lo-fi
ChIJMbjOwVFYwokRFW1YorE9FBw,Hell’s Kitchen,Divey;Fratty,Top 40/Pop;Hip-Hop/Rap
ChIJe6itZlFYwokRSbfxXEff3Ys,Hell’s Kitchen,Loungey;Divey,Top 40/Pop;Rock/Indie
ChIJczYeYlFYwokRd7jacWfIxGg,Hell’s Kitchen,Loungey;Divey,Rock/Indie;Chill/Lo-fi
ChIJfXgjbnpZwokRimMy2dFUjWE,Hell’s Kitchen,Divey;Live Music,Rock/Indie;Jazz/Blues
ChIJ22mhxBVZwokRtlQUiOaIRMc,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Hip-Hop/Rap
ChIJndGJ5FNYwokRricJvhT0t1s,Hell’s Kitchen,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJl4I7-1NYwokRSfPc7BPZkI8,Hell’s Kitchen,Loungey;Live Music,Jazz/Blues;Live Music
