name,website_link,reservation_link
La Terraza Rooftop NYC,,https://www.laterrazanyc.com/book-a-party-event
Cantina bar,Not found,Not found
Hardware,https://www.hardware-bar.com/,Not found
As Is NYC,http://asisnyc.com/,Not found
The Waylon,Not found,Not found
Fusion Bar and Grill Peruvian/Mexican,http://www.fusionhknyc.com/,https://www.opentable.com/restaurant/profile/444544?ref=1068
On the Rocks,Not found,Not found
Pocket Bar NYC,https://www.pocketbarnyc.com/,Not found
Back Pocket Bar,https://www.pocketbarnyc.com/,Not found
American Retro Bar and Grill,http://americanretrony.com/,Not found
Arriba Arriba,https://www.arribamidtown.com/,Not found
Flaming Saddles Saloon,http://flamingsaddles.com/,Not found
Medi Wine Bar,http://www.mediwinebar.com/,https://www.opentable.com/restaurant/profile/64705?ref=1068
Bar Nine,https://bar9ny.com/,http://lnkme.us/rsvp
Alfie's Kitchen & Craft Beer Bar,http://www.alfiesnyc.com/,https://www.opentable.com/restaurant/profile/1308469?ref=1068
Briciola,https://www.briciolawinebar.com/,https://www.opentable.com/restaurant/profile/731335?ref=1068
Boxers HK,https://boxersnyc.com/hk/,Not found
Hibernia Bar,https://hiberniabar.com/,Not found
Gossip,http://www.gossipbarnyc.com/,https://www.opentable.com/restaurant/profile/42301?ref=1068
Valhalla NYC,http://www.valhallabarnyc.com/,Not found
Atlas Social Club,https://www.facebook.com/atlassocialclub/,Not found
Industry Bar,http://www.industry-bar.com/,Not found
Jasper's Taphouse & Kitchen,https://www.jaspersnyc.com/,https://www.jaspersnyc.com/private-events/
B Side Pizza Bar,http://www.bsidepizzabar-nyc.com/,Not found
Hell's Kitchen Restaurant,Not found,Not found
Bombay Grill House,https://www.bombaygrillhousenyc.com/nyc/index.html?utm_source=GMB&utm_medium=Website+Button&utm_id=bombaygrillhouse,https://bombaygrillhousenyc.com/nyc/index.html#reservations
McCoys,http://mccoysbarnyc.com/,Not found
FLEX,http://flexbarnyc.com/,Not found
The Red Stache,https://www.theredstache.com/,https://www.opentable.com/r/the-red-stache-new-york
Craft+Carry Hell’s Kitchen,Not found,Not found
Sleigh Bar,,Not found
EZ Paella & Tapas,http://www.ezpaella.com/,https://ordersave.com/ezpaella
Ikebana Zen,,Not found
Thē Soirēe,Not found,Not found
Cosmic Diner,https://order.online/business/cosmic-diner-98040,Not found
Guantanamera,http://www.guantanamerany.com/,https://www.opentable.com/restaurant/profile/4798?ref=1068
Barcelona Bar,http://www.barcelonabarnyc.com/,Not found
Karaoke DUET 53,http://www.karaokeduet.com/,https://www.karaokeduet.com/reservations
VV Bar & Kitchen,,Not found
Chai Thai Kitchen,http://www.chaithaikitchen.com/,https://resy.com/cities/ny/chai-thai-kitchen
Russian Samovar Restaurant and Piano Bar,http://www.russiansamovar.com/,https://www.opentable.com/restaurant/profile/334735?ref=1068
Rumours Bar & Grille,https://rumoursbar.com/,Not found
Black Iron Burger Theater District,http://www.blackironburger.com/,https://www.opentable.com/restaurant/profile/1358461?ref=1068
RPM Underground,http://rpmunderground.us/,http://rpmunderground.us/reservations
Throwback Dance Party,Not found,Not found
The Grisly Pear Midtown,https://midtown.thegrislypear.com/,Not found
McGee's Pub,http://mcgeespubny.com/,Not found
Serafina Italian Restaurant Broadway,https://www.serafinarestaurant.com/location/serafina-broadway/,https://www.opentable.com/restaurant/profile/3579?ref=1068
Redeye Grill,http://www.redeyegrill.com/,https://www.redeyegrill.com/reservations/
Flûte Champagne Bar,Not found,Not found
Faces and Names Bar & Lounge,http://facesandnames.com/,https://www.opentable.com/restaurant/profile/21400?ref=1068
The Carnegie Club,http://www.carnegie-club.com/,https://www.opentable.com/restaurant/profile/1025887?ref=1068
Trattoria Dell'Arte,http://www.trattoriadellarte.com/,https://www.opentable.com/restaurant/profile/31231?ref=1068
The Three Monkeys,Not found,https://www.thethreemonkeysbar.com/reservations
PHD Terrace at Dream Midtown,https://www.phdterrace.com/,https://www.opentable.com/restaurant/profile/1038598?ref=1068
The Rickey,https://taogroup.com/venues/the-rickey-cocktail-lounge-new-york/,https://www.sevenrooms.com/reservations/therickey
Empire Steak House West,https://www.empiresteakhousenyc.com/,https://www.empiresteakhousenyc.com/midtown-west-reservations
Joe G Pizza & Restaurant,http://joegrestaurant.com/,Not found
Tanner Smith's,http://www.tannersmiths.com/,http://www.tannersmiths.com/reservation
Polly's NYC,https://pollysnyc.com/,https://resy.com/cities/ny/pollys
Park Lounge,Not found,Not found
PUBLIQuartet,https://www.publiquartet.com/,Not found
The Gatsby Mansion,Not found,Not found
Bar Ameritania,Not found,Not found
New York Attitude Gift shop,Not found,Not found
P. McDaid’s Irish Pub,https://pmcdaidsirishpubnyc.com/,Not found
Bartley Dunnes,https://bartleydunnesnyc.com/,https://bartleydunnesnyc.com/reservations/
The Russian Tea Room,http://www.russiantearoomnyc.com/,https://www.opentable.com/restaurant/profile/7626?ref=1068
estiatorio Milos Midtown,http://www.estiatoriomilos.com/,https://www.estiatoriomilos.com/BookTable/NYMidtown
Pazza Notte,http://www.pazzanotte.com/,Not found
Mangia 57th - Midtown Italian Food & Corporate Catering NYC,https://mangia.nyc/,http://www.mangia.nyc/
P.J. Carney’s Pub,,Not found
"Davidoff of Geneva, 6th Ave.",Not found,Not found
Parker's at Thompson Central Park,https://www.parkersnyc.com/,https://www.exploretock.com/parkers-new-york/?utm_source=search&utm_medium=place-actions&utm_content=reservations&rwg_token=AJKvS9VpxGUISue6U6G8d4iFXsRHszM-rZyOxZu88ZQGI_4pPkH0Yi_iadCU97b1huqN2cj3UlAlWjVFq9JlkuCQH6dDwxq_EE1GcD6-_kMjxV3SnyPwZYg%3D
Quality Bistro,http://www.qualitybistro.com/,https://www.qualitybistro.com/
Park Lane Hotel New York,https://www.parklanenewyork.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,Not found
Nobu Fifty Seven,https://www.noburestaurants.com/fifty-seven/home/?utm_source=google&utm_medium=Yext,https://www.noburestaurants.com/fifty-seven/reservations/
Gabriel's Bar & Restaurant,http://www.gabrielsbarandrest.com/,https://gabrielsbarandrest.com/#reservations
The Champagne Bar,https://www.theplazany.com/dining/the-champagne-bar-nyc/,https://www.opentable.com/restaurant/profile/171520?ref=1068
Contour,https://www.ritzcarlton.com/en/hotels/nyccp-the-ritz-carlton-new-york-central-park/dining/,https://www.opentable.com/restaurant/profile/96478?ref=1068
Darling,Not found,https://resy.com/cities/ny/darling
Philippe Chow,Not found,Not found
Harry Cipriani,https://www.cipriani.com/harry-cipriani,https://resy.com/cities/ny/harry-cipriani
Il Mulino New York - Uptown,http://www.imny.com/location/uptown,http://www.imny.com/location/uptown
Serafina Italian Restaurant Always,https://www.serafinarestaurant.com/location/serafina-always/,Not found
Two E Bar/Lounge,https://www.thepierreny.com/nyc-dining/two-e-bar-lounge,https://resy.com/cities/ny/2e-lounge
Avra Madison,https://www.theavragroup.com/,https://resy.com/cities/ny/avra-madison
"Asprey - Madison Ave, New York",Not found,Not found
Le Bilboquet,https://www.lebilboquetny.com/,https://www.hellobilbo.com/
The Regency Bar & Grill,https://www.loewshotels.com/en/Regency-Hotel/dining/restaurants,https://resy.com/cities/ny/the-regency-bar-and-grill-at-loews-regency-new-york-hotel
Café Boulud,Not found,https://resy.com/cities/ny/bar-boulud-nyc
Club Macanudo,http://www.clubmacanudo.com/,Not found
David Burke Tavern,https://davidburketavern.com/,https://davidburketavern.com/contact/
Lilli and Loo,https://lilliandloonyc.com/,Not found
Sopra,https://www.amalinyc.com/private-events-venue/sopra/,Not found
128 Bar & Bistro,https://societyillustrators.org/,Not found
Smashburger,Not found,Not found
Jacques,https://www.lowellhotel.com/restaurants-and-bar/jacques-bar/57-2/,Not found
Tony's Di Napoli,Not found,Not found
Silver Star,http://silverstarrestaurant.net/,Not found
Serena's Wine Bar,https://serenas-nyc.com/,Not found
monterry,https://montereybrasserie.com/,https://www.opentable.com/restaurant/profile/1242103?ref=1068
fogo,Not found,Not found
Bel Aire Diner,http://www.belairediner.nyc/,Not found
Inca Paisa restaurant,https://incapaisaastoria.com/,Not found
Kelly's Bar,https://www.kellysnyc.com/?y_source=1_MTA0Mjg4MTYzMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Not found
Bareburger - Astoria (31st Ave),https://bareburger.com/,Not found
Halsey's,http://www.halseysastoria.com/,Not found
Bar Dalia,https://www.bardalia.nyc/?fbclid=PAAaZLUfCGbyFNSsmzP19aQ54SyZCkfhMOZIb4P8b-aAWwrbb_Grx_fWi3_xM,Not found
Sweet Afton,http://www.sweetaftonbar.com/,https://resy.com/cities/ny/sweet-afton
Avenue Restobar,https://www.avenuerestobar.com/,https://avenuecafeny.com/reservations/
Judy & Punch,http://www.judyandpunch.com/,Not found
Kween,https://www.kweenastoria.com/,https://www.opentable.com/restaurant/profile/1246783?ref=1068
Maggie Hall's,https://www.maggiehalls.com/,Not found
Mad For Chicken Astoria,http://order.madforchicken.com/,Not found
Mimoza Restaurant & Lounge,http://www.mimozany.com/,Not found
Fayrooz Hookha lounge and bar,http://fayroozcafe.com/,Not found
Butcher Bar BBQ,http://butcherbar.com/,Not found
Irish Rover,https://www.instagram.com/irishrovernyc/,Not found
The Grand,https://www.sohogrand.com/dining/grand-bar/,https://resy.com/cities/ny/grand-bar-and-lounge-at-soho-grand-hotel
The Wolfhound,http://wolfhoundnyc.com/,Not found
Via Trenta Osteria & Wine Bar,http://viatrenta.com/,http://viatrenta.com/
La Tiendita Taqueria NYC,https://www.instagram.com/latienditataquerianyc/,Not found
VYBZ ASTORIA,http://www.vybz-astoria.com/,Not found
DP Lounge,Not found,Not found
El punto Astorias,Not found,Not found
Boske,https://www.boskeastoria.com/,https://www.opentable.com/restaurant/profile/1342744?ref=1068
Taco Tumba,https://www.instagram.com/tacotumba?igsh=dXdqeDFleWRieDU=,Not found
SMOKE & MIRRORS Sports Bar & Lounge,http://www.smokeandmirrorsastoria.com/,https://smokeandmirrorsastoria.com/make-a-reservation/
Vida NYC,https://www.vidasteakhouse.com/,https://www.opentable.com/restaurant/profile/1265713?ref=1068
Stiami,,https://apps.apple.com/us/app/stiami/id6443935051
Blackbird's,http://blackbirdsbar.com/,Not found
Pranam Restaurant & Bar,https://pranamrestaurant.com/menu/,Not found
Pier 81,https://pier81nyc.com/,Not found
North River Lobster Company,http://www.northriverlobsterco.com/,https://checkout2.northriverlobsterco.com/
La Barca Cantina,http://labarcacantina.com/,Not found
Kings of Kobe,https://www.kingsofkobe.com/,https://www.kingsofkobe.com/?y_source=1_MTk4NDU0NjYtNzE1LWxvY2F0aW9uLnJlc2VydmF0aW9uX3VybA%3D%3D
La Vela Dining & Bar,http://www.veladiningny.com/,Not found
Scruffy Duffy's Tap Room,http://www.hellcatannies.com/,Not found
dell'anima,http://dellanima.com/,Not found
Scruffy Duffy's Sports Bar,http://scruffyduffys.com/,Not found
The Spot,http://thespotbarnyc.com/,https://www.opentable.com/restaurant/profile/1229899?ref=1068
Mercury Bar West,http://www.mercurybarnyc.com/,http://mercurybarnyc.com/#reservations
Tulcingo Del Valle Restaurant,http://www.tulcingorestaurant.com/,Not found
Añejo,Not found,https://www.opentable.com/restaurant/profile/1284766?ref=1068
Horus Too,http://www.horustoonyc.com/,Not found
DBL,Not found,Not found
Lilly's Craft and Kitchen,https://lillyscraftandkitchennyc.com/,https://lillyscraftandkitchennyc.com/
Vintner Market (Beer Cheese),http://www.vintnerwinemarketny.com/,Not found
The Molly Pitcher Club,https://themollypitcher.club/,Not found
Bodega,Not found,Not found
Becco,Not found,Not found
Don't Tell Mama,Not found,Not found
Swing 46,http://www.swing46.nyc/,Not found
Ritz Bar and Lounge,,Not found
AmaroneScarlatto,Not found,Not found
Mickey Spillane's,,Not found
V{IV},http://www.vivthainyc.com/,Not found
The Green Room,Not found,Not found
The Gaf West,,Not found
Dutch Fred's,Not found,http://dutchfreds.com/reservations
The Blue Dog,http://www.bluedognyc.com/,https://www.bluedognyc.com/visit
Times Square Diner & Grill,https://www.timesquaredinerandgrill.com/,https://www.timessquaredinerandgrill.com/?utm_source=GBL&utm_medium=GBL&utm_campaign=CustomAudience&utm_term=GBL&utm_content=GBL
Hold Fast Kitchen and Spirits,http://holdfastnyc.com/,Not found
"VERS — queer bar, cocktails, bar snacks, and parties",https://www.versnyc.com/,Not found
Bar work,Not found,Not found
Mom's Kitchen and Bar,https://www.eatatmomsnyc.com/,Not found
Barking Dog Hell’s Kitchen,Not found,Not found
Dear Rufino Taqueria & Bar,,Not found
Beer garden & kitchen,Not found,Not found
Rosevale Cocktail Room,https://rosevalenyc.com/,https://resy.com/cities/ny/rosevale-cocktail-lounge
Starchild Rooftop Bar & Lounge,https://starchildrooftop.com/,https://www.opentable.com/restaurant/profile/1269733?ref=1068
Lady Blue,https://www.ladybluenyc.com/,https://www.opentable.com/restaurant/profile/1256713?ref=1068
Deacon Brodie's Tavern,,Not found
Sir Henry’s,http://sirhenrysnyc.com/,https://www.opentable.com/restaurant/profile/1347988?ref=1068
The Dickens,Not found,https://thedickensnyc.com/reservations
9th Avenue Saloon,https://9thavenuesaloon.com/,Not found
Victor's Cafe Cuban Restaurant,https://victorscafe.com/,http://www.victorscafe.com/
La Masseria NY,http://www.lamasserianyc.com/,https://www.opentable.com/restaurant/profile/21001?ref=1068
Lillie's Victorian Establishment,Not found,Not found
The Iridium,https://www.theiridium.com/,Not found
LeGrande Lounge,https://www.thetimehotels.com/new-york/bars-and-restaurant-en.html,https://www.opentable.com/restaurant/profile/984889?ref=1068
Hurley's Restaurant & Bar,http://www.hurleysnyc.com/,http://www.hurleysnyc.com/#reservations
Gallaghers Steakhouse,http://gallaghersnysteakhouse.com/,https://www.opentable.com/restaurant/profile/104182?ref=1068
McHale's Bar & Grill,http://www.mchalespub.com/,https://www.opentable.com/restaurant/profile/157270?ref=1068
The Attic Rooftop & Lounge,,Not found
The Soccer Republic at McHale's,http://www.mchalespub.com/,http://soccerrepublic.us/contact-2/
SuperNova,https://www.supernovany.com/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,https://7723fded-c4a4-4605-b717-6a890ecd2c71.resdiary.com/widget/Standard/Supernova/4427
Applebee's Grill + Bar,https://restaurants.applebees.com/en-us/ny/new-york/234-w.-42nd-st.-95017?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=95017&utm_content=website,Not found
Broadway 49,,https://www.opentable.com/restaurant/profile/1012687?ref=1068
Vanguard Wine Bar (Midtown West),http://vanguard-nyc.com/,Not found
Empire Steak House Times Square,https://www.empiresteakhousenyc.com/,https://www.empiresteakhousenyc.com/times-square-reservations
cloudM New York Times Square,https://www.citizenm.com/cloudm/new-york-times-square,Not found
NOTHING REALLY MATTERS,https://nothingreallymatters.party/,https://resy.com/cities/ny/nothing-really-matters
Don Antonio,https://www.donantoniopizza.com/,Not found
Dolly Varden,Not found,https://www.opentable.com/restaurant/profile/1057042?ref=1068
Haswell Green's,https://haswellgreens.com/,https://haswellgreens.com/events
Winnies Broadway,Not found,Not found
Big Apple Cleveland Browns Backers of NYC,https://bigapplebrowns.com/,Not found
SPIN New York Midtown,https://wearespin.com/location/newyorkmidtown/,Not found
vista Restaurant And Bar,Not found,Not found
The Harrison Restaurant & Bar,https://theharrison.getsauce.com/?utm_source=GMB&utm_medium=Website+Button&utm_id=theharrison,Not found
Beast & Butterflies,https://www.beastandbutterfliesnyc.com/,https://www.opentable.com/restaurant/profile/1217923?ref=1068
La Macarena,https://instagram.com/lamacarenanyc?utm_medium=copy_link,Not found
msocial Rooftop,https://www.millenniumhotels.com/en/new-york/m-social-hotel-times-square-new-york/beast-and-butterflies/,Not found
The Capital Grille,Not found,Not found
Bobby Van's,Not found,Not found
Rosie O'Grady's,http://www.rosieogradys.com/,https://www.rosieogradys.com/contact/
i Lounge,Not found,Not found
Aldo Sohm Wine Bar,http://www.aldosohmwinebar.com/,Not found
Ocean Prime,https://www.ocean-prime.com/locations/new-york-city,http://www.ocean-prime.com/locations-menus/new-york-city/new-york-reservations
the sling bar,,Not found
La Bonne Soupe,http://www.labonnenyc.com/,https://resy.com/cities/ny/la-bonne-soupe
Michael's New York,http://michaelsnewyork.com/,https://resy.com/cities/ny/michaels-restaurant
Tang Pavilion,https://www.tangpavilion.com/,https://www.tangpavilion.com/
Whiskey Trader,Not found,Not found
Cassidys Pub,http://www.cassidyspubandrestaurant.com/,Not found
Terrace Cafe,https://www.instagram.com/thecafeterrace_/,Not found
The Bar at Baccarat Hotel,https://www.baccarathotels.com/dining/bar?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,Not found
Grand Salon at Baccarat Hotel,https://www.baccarathotels.com/dining/grand-salon?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,https://www.sevenrooms.com/reservations/baccarathotelgrandsalon
Randolph's Bar and Lounge,https://www.randolphsnewyork.com/?utm_source=google&utm_medium=local&utm_campaign=seo_restaurants,Not found
53,https://53-nyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,https://53-nyc.com/
Lobby Lounge,Not found,Not found
Bridges Bar,Not found,Not found
The Consulate Midtown,http://midtown.theconsulate.nyc/,https://midtown.theconsulate.nyc/
The Bar Room at The Modern,https://www.themodernnyc.com/?utm_source=GoogleBusinessProfiles&utm_medium=Website&utm_campaign=MapLabs,https://www.themodernnyc.com/reservations/?utm_source=GoogleBusinessProfiles&utm_medium=Reservations&utm_campaign=MapLabs
Caviar Russe,https://www.caviarrusse.com/,https://caviarrusse.com/pages/restaurants
San Pietro,https://www.sanpietroristorantenyc.com/,https://www.opentable.com/restaurant/profile/220372?ref=1068
Obicà Mozzarella,Not found,Not found
Clement,https://www.peninsula.com/en/new-york/hotel-fine-dining/clement-restaurant-midtown-manhattan,https://www.opentable.com/restaurant/profile/113290?ref=1068
The Whitby Bar,https://www.firmdalehotels.com/hotels/new-york/the-whitby-hotel/the-whitby-bar-restaurant/,https://www.opentable.com/restaurant/profile/347200?ref=1068
Trump Grill,http://www.trumpgrill.com/,Not found
Judge Roy Bean Public House,http://www.judgeroybeannyc.com/,Not found
The Jazz Club at Aman New York,https://www.thejazzclub.com/,Not found
Felice 56,https://www.felicerestaurants.com/felice-56/,https://www.felicerestaurants.com/felice-56/
45 Wine & Whiskey Bar,https://www.trumptowerny.com/midtown-bar-and-lounge-nyc,Not found
Nerolab Caffè,https://nerolab.us/,Not found
Goodman’s Bar,https://stores.bergdorfgoodman.com/restaurants/new-york/ny/rest/1064-R-1,https://www.opentable.com/restaurant/profile/1219723?ref=1068
Wkj,Not found,Not found
Serafina Italian Restaurant Osteria,https://www.serafinarestaurant.com/location/serafina-osteria/,https://www.opentable.com/restaurant/profile/460558?ref=1068
Flip,https://www.bloomingdales.com/stores/ny/newyork/flip_1-f.html,Not found
Anassa Taverna,Not found,Not found
Studio 59,https://www.bloomingdales.com/stores/ny/newyork/studio-59_1-s59.html,Not found
ARORA - L'art Du Cocktail,https://www.thearora.com/,https://resy.com/cities/ny/arora
Side Door,http://sidedoornyc.com/,Not found
City Hops Beer and Wine Bar,http://www.cityhopsnyc.com/,Not found
Subway Inn,Not found,Not found
The Jeffrey Craft Beer & Bites,http://www.thejeffreynyc.com/home,http://www.thejeffreynyc.com/contact/
Festival Cafe,https://www.festivalcafenyc.com/,https://resy.com/cities/ny/festival
Vero Social,,Not found
Merchants Cigar Bar,https://www.merchantscigarbar.com/,https://www.merchantscigarbar.com/reservations/
Felice 64,https://www.felicerestaurants.com/felice-64/,https://www.felicerestaurants.com/felice-64/
The Spotted Dog,,Not found
Primal Cut Steakhouse,http://primalcutnyc.com/,Not found
Treadwell Park,Not found,Not found
Baker Street Irregulars,Not found,Not found
India Palace,http://www.indiapalacenyc.com/,http://www.indiapalaceny.com/?utm_source=gmb&utm_medium=reservation
Shaken Not Stirred,http://shakennotstirrednyc.com/,Not found
Hendrickson's,Not found,Not found
The Alvin Public House,http://www.thealvinnyc.com/,Not found
Drunken Chicken | Soju & Bar | Fried Chicken,https://www.drunkenchickennyc.com/general-5,https://www.drunkenchickennyc.com/
Mala Kitchen,Not found,Not found
Botte Bar,Not found,https://www.opentable.com/restaurant/profile/1207576?ref=1068
Sanfords,http://www.sanfordsnyc.com/,Not found
Break Bar And Billiards,Not found,Not found
Broadway Station,,Not found
Las Catrinas mexican bar & eatery,http://www.lascatrinasnyc.com/,Not found
Daly's Pub,http://dalyspubnyc.com/,Not found
Gata Golosa Astoria,,Not found
Gilbey's,https://www.instagram.com/gilbeysbar/,Not found
stuff'd,http://www.stuffd.nyc/,Not found
Mc Loughlin Astoria Bar,,Not found
Bad Habits,https://www.badhabitsastoria.com/,https://www.opentable.com/restaurant/profile/1197892?ref=1068
Sek'end Sun,http://www.sekendsun.com/,Not found
Icon Bar,https://www.iconastoria.com/,Not found
Diamond Dogs,https://www.instagram.com/diamonddogsnyc/,Not found
The Trestle,http://trestleastoria.com/,Not found
Astoria Bier & Cheese,http://astoriabierandcheese.com/,Not found
VITE vinosteria,http://www.vitevinosteria.com/,Not found
3308 Eats N Drinks,http://linktr.ee/3308eatsndrinksnyc,Not found
Jaguar cafe bistro bar,http://jaguarcafe.com/,https://tmt.spotapps.co/reservations?spot_id=237303&source=google&rwg_token=AJKvS9WcbjC2yportXiiDlV24yPGBs4cao69vhLJitRcRvX-Cg_1GneRBbHYXFfK0upCa54Y6ohdFss8YnJvMOckxqutBdyoBomVtrMkdvHE6P_Nwfxi0v8%3D
Heart of Gold,http://heartofgoldnyc.com/,https://www.exploretock.com/heart-of-gold-queens/?utm_source=search&utm_medium=place-actions&utm_content=reservations&rwg_token=AJKvS9WjhCiGQQrw8qLqGOKDjVWbhvkG4ckhHG8NVMpBpBPGvhubsALHdqQ-X27O-3nUROKJD-umIXV3P6lamjuH2pPkuTbHF5hftujM285gDxn-2OT9G2s%3D
Hutch Astoria,https://hutchastoria.com/,Not found
DiWine Natural Wine Bar & Restaurant,http://www.diwineonline.com/,https://www.opentable.com/restaurant/profile/30178?ref=1068
La Vecina,Not found,Not found
The Local Bar,Not found,Not found
Yes Mama Wine Bar,http://yesmamawinebar.com/,Not found
The Quays Pub,,Not found
Mrki’s Place,Not found,Not found
The Shillelagh Tavern,http://www.shillelaghtavern.com/,Not found
Dillingers Pub & Grill,,Not found
Cafe Renis,https://www.caferenis.com/,Not found
48 Street Deli & Grocery,Not found,Not found
NYC Gentlemen's Club,Not found,Not found
Rosewood Theater,https://www.rosewoodtheater.com/,Not found
YOTEL New York Times Square,https://www.yotel.com/en/hotels/yotel-new-york?utm_source=Google&utm_medium=Yext_YONYC,Not found
Pio Pio 8,https://www.piopio.shop/,Not found
